DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
b22_C,_07101_,INV,0,0,1,2,1,30,663,0.0,0.798,0.26600000000144064,0.0108
b22_C,_07102_,INV,0,0,1,2,1,32,828,0.0,0.798,0.26600000000144064,0.0108
b22_C,_07103_,NAND3,0,2,3,2,4,32,828,4.597093791192108e-06,1.862,0.797999999998865,0.0108
b22_C,_07104_,NOR2,0,2,2,3,5,31,783,2.9564068692033985e-05,1.33,0.5319999999992433,0.0108
b22_C,_07105_,NAND3,0,2,3,2,6,30,701,-9.03566710719339e-06,1.862,0.797999999998865,0.0108
b22_C,_07106_,NOR2,0,2,2,3,7,29,660,2.758256274759674e-05,1.33,0.5319999999992433,0.0108
b22_C,_07107_,NAND3,0,2,3,2,8,28,584,-9.22060766184174e-06,1.862,0.797999999998865,0.0108
b22_C,_07108_,NOR2,0,2,2,3,9,27,547,2.7608982826832218e-05,1.33,0.5319999999992433,0.0108
b22_C,_07109_,NAND3,0,2,3,2,10,23,460,-9.22060766184174e-06,1.862,0.797999999998865,0.0108
b22_C,_07110_,NOR2,0,2,2,3,11,22,421,2.7608982826832218e-05,1.33,0.5319999999992433,0.0108
b22_C,_07111_,NAND3,0,2,3,2,12,21,334,-9.22060766184174e-06,1.862,0.797999999998865,0.0108
b22_C,_07112_,NOR2,0,2,2,3,13,19,292,2.9247027740986198e-05,1.33,0.5319999999992433,0.0108
b22_C,_07113_,NAND3,0,2,3,2,14,18,209,-9.03566710719339e-06,1.862,0.797999999998865,0.0108
b22_C,_07114_,NOR2,0,2,2,4,15,17,166,4.228533685601832e-05,1.33,0.5319999999992433,0.0108
b22_C,_07115_,XNOR2,0,1,2,3,16,16,108,-2.1545574636849807e-05,2.66,1.0640000000003056,0.0108
b22_C,_07116_,BUF,0,0,1,10,8,30,578,9.247027739078817e-07,1.064,0.26599999999962165,0.0108
b22_C,_07117_,OAI21,0,1,3,1,17,15,105,-2.4306472923285583e-06,1.862,0.797999999998865,0.0108
b22_C,_07118_,BUF,0,0,1,10,8,27,675,0.0,1.064,0.26599999999962165,0.0108
b22_C,_07119_,BUF,0,0,1,10,9,20,338,1.3210039728761558e-08,1.064,0.26599999999962165,0.0108
b22_C,_07120_,AOI21,0,1,3,7,18,14,104,3.3632760898072434e-05,1.862,0.797999999998865,0.0108
b22_C,_07121_,BUF,0,1,1,10,19,9,56,2.6922060765821598e-05,1.064,0.26599999999962165,0.0108
b22_C,_07122_,OR3,0,2,3,5,14,5,38,-1.3051519154760882e-05,1.596,0.26599999999962165,0.0108
b22_C,_07123_,OAI21,0,0,3,1,20,3,2,-1.7767503302623666e-05,1.862,0.797999999998865,0.0108
b22_C,_07124_,MUX2,0,1,3,3,25,14,94,-1.0026420079523035e-05,2.394,0.5320000000010623,0.0108
b22_C,_07125_,AND2,0,0,2,6,26,13,91,-2.615587846976908e-06,1.33,0.26599999999962165,0.0108
b22_C,_07126_,NAND2,0,0,2,10,17,5,24,0.0,1.33,0.5319999999992433,0.0108
b22_C,_07127_,NAND2,0,0,2,1,16,16,92,-2.7014531043700885e-05,1.33,0.5319999999992433,0.0108
b22_C,_07128_,XNOR2,0,0,2,3,17,15,91,0.0,2.66,1.0640000000003056,0.0108
b22_C,_07129_,AOI221,0,0,5,1,27,2,1,-1.2919418758361445e-05,2.926,1.3299999999999272,0.0108
b22_C,_07130_,NAND3,0,1,3,1,16,14,71,-2.2364597093815775e-05,1.862,0.797999999998865,0.0108
b22_C,_07131_,XOR2,0,1,2,3,17,13,70,-7.410832232768172e-06,2.394,0.7980000000006839,0.0108
b22_C,_07132_,OR2,0,1,2,2,18,12,64,6.142668427910891e-06,1.33,0.26599999999962165,0.0108
b22_C,_07133_,AOI222,0,0,6,2,10,12,64,-1.3210039950806163e-08,3.724,1.595999999999549,0.0108
b22_C,_07134_,AND2,0,0,2,8,19,10,33,-2.668428005447865e-06,1.33,0.26599999999962165,0.0108
b22_C,_07135_,OR3,0,0,3,9,14,4,23,-9.18758256274188e-05,1.596,0.26599999999962165,0.0108
b22_C,_07136_,BUF,0,0,1,10,10,23,145,1.3210039506716953e-08,1.064,0.26599999999962165,0.0108
b22_C,_07137_,BUF,0,0,1,10,11,13,90,-1.3210039728761558e-08,1.064,0.26599999999962165,0.0108
b22_C,_07138_,BUF,0,0,1,10,7,28,548,0.0,1.064,0.26599999999962165,0.0108
b22_C,_07139_,NAND2,0,0,2,1,18,14,86,0.0,1.33,0.5319999999992433,0.0108
b22_C,_07140_,AOI222,0,0,6,1,10,14,86,-2.6420079457523116e-08,3.724,1.595999999999549,0.0108
b22_C,_07141_,NAND2,0,0,2,2,19,13,85,0.0,1.33,0.5319999999992433,0.0108
b22_C,_07142_,INV,0,0,1,6,20,12,58,0.0,0.798,0.26600000000144064,0.0108
b22_C,_07143_,BUF,0,0,1,10,9,23,94,2.1136063388382809e-07,1.064,0.26599999999962165,0.0108
b22_C,_07144_,XNOR2,0,0,2,2,27,7,10,-4.1215323647314506e-06,2.66,1.0640000000003056,0.0108
b22_C,_07145_,NOR3,0,0,3,2,28,4,6,1.5852047554609783e-06,1.862,0.797999999998865,0.0108
b22_C,_07146_,INV,0,0,1,1,28,6,8,-1.3210039950806163e-08,0.798,0.26600000000144064,0.0108
b22_C,_07147_,CLKBUF,0,0,1,10,20,12,62,0.0,1.064,0.26599999999962165,0.0108
b22_C,_07148_,BUF,0,0,1,10,9,24,130,-6.274768824310328e-06,1.064,0.26599999999962165,0.0108
b22_C,_07149_,BUF,0,0,1,10,10,8,61,0.0,1.064,0.26599999999962165,0.0108
b22_C,_07150_,AOI21,0,0,3,2,29,5,7,0.0,1.862,0.797999999998865,0.0108
b22_C,_07151_,NOR2,0,0,2,1,30,3,2,-1.4531043595056303e-06,1.33,0.5319999999992433,0.0108
b22_C,_07152_,INV,0,0,1,3,1,17,267,0.0,0.798,0.26600000000144064,0.0108
b22_C,_07153_,NOR2,0,0,2,1,12,16,120,-3.57859973580954e-05,1.33,0.5319999999992433,0.0108
b22_C,_07154_,AOI21,0,2,3,5,24,15,119,-3.154557463691532e-05,1.862,0.797999999998865,0.0108
b22_C,_07155_,NOR2,0,1,2,5,25,11,62,-6.698811096450541e-05,1.33,0.5319999999992433,0.0108
