DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
b13_C,_094_,NOR3,0,0,3,1,1,4,18,0.0,1.862,0.7980000000000018,5.62e-05
b13_C,_095_,NAND2,0,0,2,1,1,4,18,0.0,1.33,0.5320000000000107,5.62e-05
b13_C,_096_,OR3,1,13,3,1,1,5,19,0.0016726415094339697,1.596,0.26599999999999113,5.63e-05
b13_C,_097_,AOI21,1,13,3,1,2,4,18,0.00014075471698113406,1.862,0.7980000000000018,5.64e-05
b13_C,_098_,OAI21,1,13,3,4,3,3,17,-0.0011599999999999944,1.862,0.7980000000000018,5.65e-05
b13_C,_099_,AND2,1,9,2,9,4,2,9,0.00162056603773586,1.33,0.26600000000001955,5.64e-05
b13_C,_100_,INV,0,0,1,2,1,5,7,0.0,0.798,0.26599999999999113,5.62e-05
b13_C,_101_,NOR3,0,0,3,3,1,5,7,0.0,1.862,0.7980000000000018,5.62e-05
b13_C,_102_,AOI211,0,0,4,1,2,4,3,0.0,2.394,1.063999999999993,5.66e-05
b13_C,_103_,AND2,0,0,2,3,1,5,7,0.0,1.33,0.26600000000001955,5.63e-05
b13_C,_104_,NAND2,0,0,2,1,2,4,3,0.0,1.33,0.5320000000000107,5.63e-05
b13_C,_105_,INV,0,0,1,3,1,5,7,0.0,0.798,0.26599999999999113,5.62e-05
b13_C,_106_,NAND3,0,0,3,1,2,4,3,0.0,1.862,0.7980000000000018,5.63e-05
b13_C,_107_,INV,0,0,1,3,1,5,9,0.0,0.798,0.26599999999999113,5.62e-05
b13_C,_108_,NAND3,0,0,3,1,2,4,3,0.0,1.862,0.7980000000000018,5.63e-05
b13_C,_109_,NAND4,0,0,4,1,3,3,2,0.0,2.394,1.063999999999993,5.68e-05
b13_C,_110_,AOI221,0,0,5,1,2,4,3,0.0,2.926,1.329999999999984,5.65e-05
b13_C,_111_,NAND3,0,0,3,1,2,4,3,0.0,1.862,0.7980000000000018,5.63e-05
b13_C,_112_,NAND3,0,0,3,1,2,4,3,0.0,1.862,0.7980000000000018,5.63e-05
b13_C,_113_,NAND3,0,0,3,1,3,3,2,0.0,1.862,0.7980000000000018,5.66e-05
b13_C,_114_,NAND2,0,0,2,1,4,2,1,0.0,1.33,0.5320000000000107,5.66e-05
b13_C,_115_,NAND2,0,1,2,0,5,1,0,-0.0003866037735849037,1.33,0.5320000000000107,5.66e-05
b13_C,_116_,AND3,0,3,3,3,4,2,3,-0.00014981132075472803,1.596,0.26599999999999113,5.64e-05
