DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
b01_C,_19_,INV,0,0,1,1,1,3,2,0.0,0.798,0.2660000000000018,1.07e-05
b01_C,_20_,NAND2,1,2,2,7,1,4,11,0.004629999999999981,1.33,0.5319999999999965,1.07e-05
b01_C,_21_,AOI21,0,0,3,1,2,3,2,-0.0021539999999999893,1.862,0.7980000000000018,1.09e-05
b01_C,_22_,OAI211,0,0,4,1,3,2,1,-0.001902000000000001,2.394,1.064,1.11e-05
b01_C,_23_,INV,0,0,1,2,1,3,4,0.0,0.798,0.26599999999999824,1.07e-05
b01_C,_24_,INV,0,2,1,3,1,4,12,0.0018680000000000085,0.798,0.26600000000000534,1.07e-05
b01_C,_25_,NOR3,0,1,3,1,2,1,2,0.00028000000000001635,1.862,0.7980000000000018,1.09e-05
b01_C,_26_,NAND2,0,0,2,1,3,2,1,-0.0044359999999999955,1.33,0.5319999999999965,1.08e-05
b01_C,_27_,OR3,0,1,3,1,2,2,1,0.0005460000000000048,1.596,0.26599999999999824,1.08e-05
b01_C,_28_,NAND2,0,1,2,4,2,3,8,0.00016000000000000736,1.33,0.5319999999999965,1.08e-05
b01_C,_29_,OAI211,0,0,4,1,3,2,1,-0.0014619999999999772,2.394,1.064,1.1e-05
b01_C,_30_,NAND4,0,1,4,0,4,1,0,-0.0010859999999999759,2.394,1.064,1.15e-05
b01_C,_31_,AOI21,0,0,3,1,3,2,1,-0.0023900000000000032,1.862,0.7979999999999947,1.1e-05
b01_C,_32_,NOR2,0,1,2,3,1,4,5,0.00022800000000000598,1.33,0.5319999999999965,1.07e-05
b01_C,_33_,AOI22,1,1,4,1,2,3,2,-0.002838000000000007,2.394,1.064,1.11e-05
b01_C,_34_,NAND2,0,0,2,1,1,3,2,-0.0004939999999999944,1.33,0.5319999999999965,1.07e-05
b01_C,_35_,OAI22,1,1,4,1,3,2,1,-0.004180000000000003,2.394,1.064,1.13e-05
b01_C,_36_,OR2,1,1,2,0,4,1,0,0.00032799999999999496,1.33,0.26599999999999824,1.12e-05
b01_C,_37_,NAND2,0,1,2,1,3,2,1,-0.0004659999999999803,1.33,0.5319999999999965,1.09e-05
b01_C,_38_,XOR2,0,0,2,1,1,2,1,-0.000897999999999996,2.394,0.7979999999999947,1.12e-05
b01_C,_39_,XNOR2,0,1,2,0,4,1,0,-0.0005479999999999929,2.66,1.064,1.18e-05
b01_C,_40_,NAND2,0,0,2,1,3,2,1,-0.002595999999999987,1.33,0.5319999999999965,1.1e-05
b01_C,_41_,AOI21,0,1,3,1,2,2,1,-0.003136,1.862,0.7979999999999947,1.1e-05
b01_C,_42_,MUX2,0,1,3,0,4,1,0,0.0004100000000000076,2.394,0.5319999999999965,1.12e-05
