DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
c5315,_0699_,INV,0,1,1,1,1,1,3,2.659340659344478e-05,0.798,0.2659999999999627,0.000673
c5315,_0700_,INV,0,2,1,1,1,1,3,3.4175824175919356e-05,0.798,0.2659999999999627,0.000673
c5315,_0701_,NOR2,0,1,2,1,2,1,2,-3.780219780219474e-05,1.33,0.5320000000000391,0.000673
c5315,_0708_,BUF,0,0,1,10,1,5,33,5.494505494474389e-07,1.064,0.2659999999999627,0.000673
c5315,_0709_,INV,0,0,1,4,2,4,9,-5.494505494474389e-07,0.798,0.2659999999999627,0.000673
c5315,_0710_,NOR2,0,0,2,1,3,2,1,0.0,1.33,0.5320000000000391,0.000673
c5315,_0711_,CLKBUF,0,0,1,10,1,3,20,1.9670329670318232e-05,1.064,0.2659999999999627,0.000673
c5315,_0712_,BUF,0,0,1,10,1,4,19,1.208791208850979e-06,1.064,0.2659999999999627,0.000673
c5315,_0713_,OAI21,0,0,3,1,2,2,1,-1.087912087915921e-05,1.862,0.7980000000000018,0.000674
c5315,_0714_,BUF,0,0,1,10,1,8,102,0.00010681318681321494,1.064,0.2659999999999627,0.000673
c5315,_0715_,BUF,0,0,1,10,1,9,208,3.1868131868395544e-06,1.064,0.2659999999999627,0.000673
c5315,_0716_,BUF,0,0,1,10,2,7,85,0.00016681318681321944,1.064,0.2659999999999627,0.000673
c5315,_0717_,BUF,0,24,1,10,1,15,225,0.004995164835164823,1.064,0.2659999999999627,0.000673
c5315,_0718_,MUX2,0,2,3,4,2,14,95,-0.0006636263736263248,2.394,0.5320000000000391,0.000674
c5315,_0719_,XNOR2,0,0,2,4,3,13,80,-7.296703296705287e-05,2.66,1.0639999999999645,0.000674
c5315,_0720_,MUX2,0,0,3,4,2,13,52,-0.00047516483516479857,2.394,0.5320000000000391,0.000674
c5315,_0721_,XNOR2,0,0,2,3,3,12,44,2.1978021985669116e-07,2.66,1.0639999999999645,0.000674
c5315,_0722_,XOR2,0,0,2,2,4,11,20,-1.0439560439612361e-05,2.394,0.7980000000000018,0.000675
c5315,_0723_,MUX2,0,0,3,5,2,14,111,-0.00047527472527469916,2.394,0.5320000000000391,0.000674
c5315,_0724_,OAI211,0,0,4,3,3,13,66,-5.659340659341927e-05,2.394,1.0639999999999645,0.000674
c5315,_0725_,NAND2,0,0,2,3,3,13,66,-7.36263736264009e-05,1.33,0.5320000000000391,0.000673
c5315,_0726_,XNOR2,0,0,2,3,3,13,77,0.0,2.66,1.0639999999999645,0.000674
c5315,_0727_,OAI211,0,0,4,3,4,12,38,-6.703296703214345e-06,2.394,1.0639999999999645,0.000675
c5315,_0728_,AND2,0,0,2,2,3,12,36,0.0,1.33,0.2660000000000764,0.000673
c5315,_0729_,OAI21,0,0,3,1,5,11,18,0.0,1.862,0.7980000000000018,0.000674
c5315,_0730_,XNOR2,0,0,2,1,6,10,17,0.0,2.66,1.0639999999999645,0.000676
c5315,_0731_,MUX2,0,0,3,3,2,12,72,-0.00047527472527469916,2.394,0.5320000000000391,0.000674
c5315,_0732_,NOR2,0,0,2,4,3,11,64,0.0,1.33,0.5320000000000391,0.000673
