DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
b02_C,_09_,INV,0,1,1,4,1,3,6,0.0016999999999999932,0.798,0.266,4.51e-06
b02_C,_10_,NOR3,0,1,3,0,2,1,0,-0.0008075000000000027,1.862,0.798,4.65e-06
b02_C,_11_,INV,1,1,1,2,1,3,5,1.7499999999989746e-05,0.798,0.266,4.51e-06
b02_C,_12_,OAI21,1,1,3,2,2,2,2,0.0002550000000000052,1.862,0.798,4.74e-06
b02_C,_13_,OAI21,0,0,3,2,1,2,2,-0.0010000000000000009,1.862,0.798,4.66e-06
b02_C,_14_,AND2,1,1,2,0,3,1,0,-0.0004950000000000093,1.33,0.266,4.86e-06
b02_C,_15_,INV,0,0,1,2,1,3,3,0.0,0.798,0.266,4.51e-06
b02_C,_16_,NOR3,0,1,3,1,1,2,1,-7.500000000000562e-05,1.862,0.798,4.56e-06
b02_C,_17_,NOR2,0,0,2,1,2,2,1,-0.0019600000000000034,1.33,0.532,4.74e-06
b02_C,_18_,OAI22,0,1,4,0,3,1,0,-0.005930000000000005,2.394,1.064,5.14e-06
b02_C,_19_,NAND3,0,0,3,1,2,2,1,-0.0013775000000000037,1.862,0.798,4.73e-06
b02_C,_20_,AND2,0,1,2,1,2,2,1,0.00033249999999999946,1.33,0.266,4.68e-06
b02_C,_21_,OAI21,0,1,3,0,3,1,0,-0.0038175000000000014,1.862,0.798,5.03e-06
