DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
c3540,_0508_,INV,0,0,1,4,1,17,124,0.0,0.798,0.2659999999999627,0.000505
c3540,_0509_,NOR3,0,1,3,2,1,16,54,0.0004449999999999177,1.862,0.7980000000000018,0.000505
c3540,_0510_,AND2,0,1,2,0,2,1,0,-0.00018863636363630754,1.33,0.2660000000000764,0.000505
c3540,_0511_,BUF,0,0,1,10,1,18,280,0.0,1.064,0.2659999999999627,0.000505
c3540,_0512_,INV,0,0,1,9,2,17,237,0.0,0.798,0.2659999999999627,0.000505
c3540,_0513_,BUF,0,2,1,10,1,18,349,0.0007631818181818018,1.064,0.2659999999999627,0.000505
c3540,_0514_,BUF,0,2,1,10,2,17,279,0.0008318181818182113,1.064,0.2659999999999627,0.000505
c3540,_0515_,INV,0,0,1,3,1,17,158,-0.0008854545454544116,0.798,0.2659999999999627,0.000505
c3540,_0516_,NOR2,0,0,2,4,3,16,143,-0.0004240909090907907,1.33,0.5320000000000391,0.000505
c3540,_0517_,AOI21,0,0,3,3,4,10,39,-6.636363636358666e-05,1.862,0.7980000000000018,0.000505
c3540,_0518_,NOR2,0,0,2,2,3,12,60,-0.0009009090909090078,1.33,0.5320000000000391,0.000505
c3540,_0519_,NAND2,0,1,2,5,4,11,57,-0.00010318181818180783,1.33,0.5320000000000391,0.000505
c3540,_0520_,OR2,0,0,2,7,5,10,42,-0.00010136363636359391,1.33,0.2660000000000764,0.000505
c3540,_0521_,NAND2,0,0,2,10,6,9,37,1.3636363637159477e-06,1.33,0.5320000000000391,0.000505
c3540,_0522_,AND2,1,15,2,8,1,17,256,0.013690909090909087,1.33,0.2660000000000764,0.000505
c3540,_0523_,BUF,0,0,1,10,1,18,312,0.0,1.064,0.2659999999999627,0.000505
c3540,_0524_,AND3,0,0,3,4,2,17,208,-5.9090909090842025e-05,1.596,0.2659999999999627,0.000505
c3540,_0525_,AOI211,0,0,4,4,3,16,113,-0.0035999999999999366,2.394,1.0639999999999645,0.000505
c3540,_0526_,NAND2,0,0,2,1,4,15,65,0.0,1.33,0.5320000000000391,0.000505
c3540,_0527_,INV,0,0,1,2,1,17,119,-4.090909090925798e-06,0.798,0.2659999999999627,0.000505
c3540,_0528_,INV,0,0,1,9,1,18,264,0.0,0.798,0.2659999999999627,0.000504
c3540,_0529_,NOR3,0,0,3,1,2,16,66,-0.0004454545454545267,1.862,0.7980000000000018,0.000505
c3540,_0530_,NOR2,0,0,2,4,2,17,186,-0.00012454545454543275,1.33,0.5320000000000391,0.000505
c3540,_0531_,XNOR2,0,0,2,2,1,16,68,-1.2272727272777395e-05,2.66,1.0639999999999645,0.000505
c3540,_0532_,AOI221,0,0,5,1,3,15,65,-0.00038454545454547073,2.926,1.330000000000041,0.000505
