DESIGN,CELL,LOGIC-TYPE,PATH-OCURENCE,PATHS-OCURENCE,FA-IN,FA-OUT,LOGIC-LEVEL,DEEP,LOADED-CELLS,DIF-ARRIVAL,CELL-AREA,COST-AREA,POWER
b12_C,_0525_,INV,0,0,1,2,1,7,12,0.0,0.798,0.2659999999999627,0.000242
b12_C,_0526_,AND2,0,5,2,3,1,7,12,0.0002330769230767804,1.33,0.2660000000000764,0.000242
b12_C,_0527_,OAI21,0,5,3,1,2,6,10,3.2478632478516456e-05,1.862,0.7980000000000018,0.000242
b12_C,_0528_,NAND3,0,5,3,1,3,5,9,-0.00028444444444447603,1.862,0.7980000000000018,0.000242
b12_C,_0529_,INV,0,0,1,2,1,7,12,-7.692307692486189e-07,0.798,0.2659999999999627,0.000242
b12_C,_0530_,AOI21,0,0,3,1,2,6,10,-7.692307692319655e-06,1.862,0.7980000000000018,0.000242
b12_C,_0531_,OAI22,0,0,4,1,2,6,10,-1.8632478632540916e-05,2.394,1.0639999999999645,0.000242
b12_C,_0532_,NAND2,0,0,2,1,2,6,10,-4.504273504285505e-05,1.33,0.5320000000000391,0.000242
b12_C,_0533_,AOI21,0,0,3,1,3,5,9,3.0769230769389644e-06,1.862,0.7980000000000018,0.000242
b12_C,_0534_,NAND2,0,5,2,2,4,4,8,-4.273504273516471e-05,1.33,0.5320000000000391,0.000242
b12_C,_0535_,NAND2,0,0,2,1,1,3,4,-6.837606837395427e-07,1.33,0.5320000000000391,0.000242
b12_C,_0536_,NAND3,0,3,3,3,5,2,3,5.982905982304665e-07,1.862,0.7980000000000018,0.000242
b12_C,_0537_,NOR2,0,0,2,1,2,2,1,-0.000171880341880426,1.33,0.5320000000000391,0.000242
b12_C,_0538_,NOR2,0,1,2,0,6,1,0,-0.00010273504273511369,1.33,0.5320000000000391,0.000242
b12_C,_0539_,NOR2,0,0,2,1,1,2,1,-5.2222222222286785e-05,1.33,0.5320000000000391,0.000242
b12_C,_0540_,NOR3,0,1,3,0,6,1,0,-0.00027470085470093775,1.862,0.7980000000000018,0.000242
